date,coin_id,price_usd,daily_active_addresses,transaction_volume,marketcap_usd,whale_trans_count_100k,whale_trans_volume_100k,whale_trans_count_1m,whale_trans_volume_1m
2024-07-10,ethereum,3102.18413239417,476842.0,2236795.8904236364,372905193397.0,5254.0,5436014618.031958,1031.0,4156068300.665116
2024-07-11,ethereum,3100.386613051996,491615.0,2247568.8805460003,372694905831.0,7360.0,5766153910.362782,990.0,4311613942.2375345
2024-07-12,ethereum,3134.160951798044,529086.0,1914323.1219877524,376761367944.0,5986.0,4704407545.126931,822.0,3424945485.252012
2024-07-13,ethereum,3176.275085007226,505030.0,1242513.308995674,381830779680.0,11115.0,3060706872.120399,349.0,1535992416.2735798
2024-07-14,ethereum,3242.29789836658,429019.0,998452.8048051443,389775195955.0,4825.0,2249020736.852624,392.0,1351594258.114661
2024-07-15,ethereum,3489.656487399828,455164.0,2698880.459154008,419519346154.0,8729.0,7842793745.091526,1260.0,6160652634.79047
2024-07-16,ethereum,3443.513501787291,447503.0,2415072.6319061494,413977750803.0,8902.0,7011049436.418047,1289.0,5276645705.66488
2024-07-17,ethereum,3390.137830705466,417371.0,2006860.781041324,407566499297.0,9474.0,5649025593.242259,935.0,3881902598.091583
2024-07-18,ethereum,3426.258590644699,428163.0,1841970.5323195697,411914155212.0,9200.0,5056716208.160184,770.0,3239493792.814597
2024-07-19,ethereum,3505.667779437002,433881.0,2267229.961916023,421466047223.0,17294.0,6608060206.443339,1190.0,4013543592.776369
2024-07-20,ethereum,3518.772238728681,448888.0,2070601.5535572255,423048035213.0,25454.0,6274593074.0852585,1019.0,3071977189.7995563
2024-07-21,ethereum,3536.627172492452,437011.0,1360972.722735001,425202725801.0,10415.0,3817439901.4063087,680.0,2145262954.633821
2024-07-22,ethereum,3438.612948262395,439627.0,3006075.7728226325,413418640774.0,7543.0,9254097232.781174,959.0,7677092662.102775
2024-07-23,ethereum,3482.215393269498,448700.0,3083301.252008407,418660889268.0,9766.0,9499296729.881939,1425.0,7586069449.459022
2024-07-24,ethereum,3337.307121109397,439875.0,3777037.182108279,401238811874.0,11662.0,11915961032.558372,1192.0,9935542794.420723
2024-07-25,ethereum,3174.771405438156,432313.0,4000112.3176114056,381697416648.0,8715.0,11423963935.954113,1473.0,9496163107.822144
2024-07-26,ethereum,3277.546167083988,464375.0,3077862.907647976,394053853067.0,9184.0,9005032688.64047,973.0,7334436621.7805195
2024-07-27,ethereum,3247.507305351405,423950.0,1352682.1374183656,390442331336.0,7217.0,3483251547.6849074,613.0,2166550952.5896997
2024-07-28,ethereum,3272.187601259965,442717.0,863224.615228719,393409601728.0,5651.0,1941405909.4764068,303.0,958251006.06696
2024-07-29,ethereum,3320.889722309586,433355.0,3550085.66415389,399264975679.0,11473.0,10719562066.426723,1170.0,8652919197.568602
2024-07-30,ethereum,3279.176025880881,451713.0,2942733.36668679,394313284131.0,10489.0,8670358571.567223,1025.0,6778925518.819609
2024-07-31,ethereum,3233.39469650158,450358.0,2437939.622735636,388814095452.0,7874.0,6860544363.740977,946.0,5277493488.380424
2024-08-01,ethereum,3202.066758927761,399092.0,2511830.1933137774,385052735068.0,8877.0,6580238342.891738,862.0,4780617972.902508
2024-08-02,ethereum,2984.623418755752,401787.0,2892838.245927964,358910386115.0,7688.0,7619993826.064548,1029.0,5908394023.711253
2024-08-03,ethereum,2903.088631745417,470666.0,1644148.3493788973,349111435214.0,4843.0,3828051405.192782,659.0,2546060923.3943276
2024-08-04,ethereum,2686.027498272117,457608.0,1984447.8893940412,323015051181.0,5680.0,4465806780.763237,856.0,3047984871.8391747
